0,harmonized labeling,in cgc2 typelist,in cgc2 subtypelist,dc.type,dc.subtype,peer-reviewed y/n,dc.format,dc.title,dc.description,dc.subject,dc.subject vocab=GACS/AGROVOC/CAB,dc.creator,dc.creator ID,dc.creator Affiliation,dc.publisher,dc.contributor type=Project,dc.contributor Project Lead Center,dc.contributor type=Partner,dc.contributor type=CRP,dc.contributor type=Donor,dc.contact,dc.contact.email,dc.date,dc.date type=completion,dc.date type=availability,dc.language,dc.identifier,dc.identifier type=bibliographiCitation,dc.identifier type=identifier,dc.source,howpublished,booktitle,chapter,pages,volume,number,series,edition,notes,dc.relation,dc.relation hasFormat,dc.relation isFormatOf,dc.relation hasPart,dc.relation isPartOf,dc.relation hasVersion,dc.relation isVersionOf,dc.relation conformsTo,dc.relation replaces,dc.relation isReplacedBy,dc.relation references,dc.relation isReferencedBy,dc.relation requires,dc.relation isRequiredBy,isMetadataFor,dc.relation HasMetadata,dc.contributor type=person role=Editor,dc.contributor type=person role=HostingInstitution,dc.contributor type=person role=ProjectLeader,dc.contributor type=person role=Producer,dc.contributor type=person role=Data analyst,dc.contributor type=person role=Supervisor,dc.contributor type=person role=ServiceProvider,dc.contributor type=person role=Geoinformation Specialist,dc.contributor type=person role=translator,dc.contributor type=person role=other,dc.rights,dc.rights license,dc.rights RightsStatement,terms of use,dc.rights copyright holder,dc.targetaudience,event name,event type,event date,dc.coverage,dc.coverage type=Region,dc.coverage type=Country,dc.coverage type=Administrative Unit,dc.coverage type=AEZ (FAO),dc.coverage type=ChronologicalPeriod,dc.coverage type=ChronologicalPeriod eventtype=Single,dc.coverage type=ChronologicalPeriod eventtype=Start / End,dc.coverage type=geospatial X,dc.coverage type=geospatial Y,dc.coverage type=geospatial bounding box
80,Image,1,0,required,recommended,optional,required,required,recommended,recommended,recommended,required,required,required if applicable,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,optional,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,optional,recommended,optional,optional,optional,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,recommended,optional,recommended,recommended,recommended,recommended,
87,Audio,1,0,required,recommended,optional,required,required,recommended,recommended,recommended,required,required,required if applicable,required,required,recommended,recommended,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,required if applicable,optional,not applicable,not applicable,not applicable,optional,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,optional,recommended,optional,optional,optional,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required,optional,recommended,optional,recommended,recommended,optional,optional,
154,Brochure,1,0,required,recommended,optional,required,required,recommended,recommended,recommended,required,required,required if applicable,not applicable,required,recommended,recommended,required if applicable,required,recommended,recommended,recommended,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,optional,recommended,optional,optional,optional,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,
210,directive document,1,0,required,recommended,optional,required,required,recommended,recommended,recommended,required,required,required if applicable,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,optional,recommended,recommended,recommended,recommended,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,recommended,optional,optional,optional,optional,optional,
228,Legal Document,1,0,required,recommended,optional,required,required,recommended,recommended,recommended,required,required,required if applicable,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,required if applicable,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,optional,recommended,optional,recommended,recommended,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,not applicable,optional,optional,optional,optional,optional,
313,Technical Report,1,0,required,recommended,optional,required,required,recommended,recommended,recommended,required,required,optional,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,optional,recommended,recommended,optional,optional,recommended,recommended,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,recommended,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,
324,Source Code,1,0,required,recommended,optional,required,required,recommended,optional,recommended,required,required,optional,not applicable,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,not applicable,optional,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,optional,recommended,recommended,recommended,recommended,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required,optional,not applicable,optional,not applicable,not applicable,not applicable,not applicable,
329,Standard,1,0,required,recommended,optional,required,required,recommended,recommended,recommended,required,required,required if applicable,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,optional,recommended,recommended,required if applicable,required if applicable,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required,optional,not applicable,optional,required if applicable,required if applicable,optional,optional,
239,News Item,1,0,required,recommended,optional,required,required,optional,recommended,recommended,required,required,required if applicable,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,optional,recommended,optional,optional,optional,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,
278,post,1,0,required,recommended,optional,required,required,optional,recommended,optional,required,required,optional,not applicable,optional,optional,optional,optional,optional,recommended,recommended,required,required,optional,required,required,recommended,required,optional,optional,not applicable,optional,not applicable,optional,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,optional,optional,optional,optional,optional,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,recommended,optional,optional,optional,optional,optional,optional,optional,
285,Press Item,1,0,required,recommended,optional,required,required,optional,recommended,recommended,required,required,optional,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,optional,recommended,optional,optional,optional,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,recommended,recommended,recommended,required if applicable,optional,required if applicable,optional,recommended,optional,optional,optional,optional,optional,
357,Working Paper,1,0,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,required if applicable,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,optional,recommended,optional,recommended,recommended,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,recommended,optional,optional,optional,optional,optional,
82,Map,1,0,required,recommended,optional,required,required,required,required,recommended,required,required,required if applicable,required,required if applicable,recommended,recommended,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,required if applicable,optional,not applicable,not applicable,not applicable,optional,optional,optional,optional,optional,recommended,optional,optional,optional,required if applicable,optional,recommended,recommended,optional,optional,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required,optional,recommended,optional,required if applicable,required if applicable,required,required,
221,Journal,1,0,required,recommended,optional,required,required,required,required,required if applicable,required,required,required if applicable,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,recommended,optional,optional,optional,optional,optional,
222,Journal Article,1,0,required,recommended,required,required,required,required,required,required if applicable,required,required,required if applicable,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,required,recommended,not applicable,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,optional,optional,optional,required,optional,recommended,optional,optional,optional,required if applicable,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,
279,Poster,1,0,required,recommended,optional,required,required,required,required,required if applicable,required,required,required if applicable,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,required if applicable,optional,not applicable,optional,not applicable,optional,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,optional,recommended,optional,optional,optional,required if applicable,recommended,optional,optional,optional,optional,optional,optional,optional,optional,recommended,recommended,optional,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,recommended,recommended,recommended,required if applicable,optional,required if applicable,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,
48,Other,1,0,required,recommended,optional,required,required,recommended,required,recommended,required,required,required if applicable,required if applicable,required,recommended,required if applicable,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,required if applicable,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,optional,recommended,recommended,optional,optional,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,
72,Video,1,0,required,recommended,optional,required,required,recommended,required,recommended,required,required,required if applicable,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,required if applicable,optional,not applicable,not applicable,not applicable,optional,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,optional,recommended,optional,optional,optional,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,recommended,optional,recommended,recommended,recommended,recommended,
73,Video Recording,1,0,required,recommended,optional,required,required,recommended,required,recommended,required,required,required if applicable,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,required if applicable,optional,not applicable,not applicable,not applicable,optional,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,optional,recommended,optional,optional,optional,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,recommended,optional,recommended,recommended,recommended,recommended,
107,Newsletter,1,0,required,recommended,optional,required,required,recommended,required,recommended,required,required,required if applicable,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,recommended,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,recommended,recommended,optional,recommended,optional,optional,optional,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,recommended,optional,optional,optional,optional,optional,
115,Infographic,1,0,required,recommended,optional,required,required,recommended,required,recommended,required,required,required if applicable,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,not applicable,optional,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,optional,recommended,optional,optional,optional,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,
244,Newspaper,1,0,required,recommended,optional,required,required,recommended,required,recommended,required,required,required if applicable,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,required if applicable,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,optional,optional,
310,Research Report,1,0,required,recommended,optional,required,required,recommended,required,required if applicable,required,required,required if applicable,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,optional,recommended,recommended,optional,optional,required if applicable,recommended,optional,optional,optional,optional,recommended,optional,recommended,optional,recommended,recommended,optional,recommended,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,
143,Book,1,0,required,recommended,required,required,required,required,required,required if applicable,required,required,required if applicable,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,optional,optional,optional,recommended,optional,recommended,optional,optional,optional,recommended,recommended,optional,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,
144,Book Chapter,1,0,required,recommended,required,required,required,required,required,required if applicable,required,required,required if applicable,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,required,optional,required,required if applicable,recommended,recommended,recommended,recommended,recommended,recommended,recommended,optional,optional,optional,required,optional,recommended,optional,optional,optional,recommended,recommended,optional,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,
160,Conference Paper,1,0,required,recommended,optional,required,required,required,required,required if applicable,required,required,required if applicable,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,required,optional,required,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,optional,optional,optional,required,optional,recommended,optional,optional,optional,recommended,recommended,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,recommended,recommended,recommended,required if applicable,optional,required if applicable,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,
165,Conference Proceedings,1,0,required,recommended,optional,required,required,required,required,required if applicable,required,required,required if applicable,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,recommended,optional,optional,recommended,optional,optional,optional,recommended,recommended,optional,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,recommended,recommended,recommended,required if applicable,optional,required if applicable,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,
233,Magazine Article,1,0,required,recommended,optional,required,required,optional,required,required if applicable,required,required,required if applicable,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,required,recommended,not applicable,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,optional,optional,optional,required,optional,recommended,optional,optional,optional,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,
58,Personal Communication,1,0,required,recommended,optional,required,required,optional,optional,optional,required,required,required if applicable,not applicable,optional,optional,optional,optional,optional,recommended,recommended,required,required,required,required,required,recommended,required,not applicable,optional,not applicable,not applicable,optional,not applicable,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,recommended,optional,recommended,optional,optional,optional,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,recommended,optional,optional,optional,optional,optional,
366,Financial Report,1,0,required,recommended,optional,required,required,optional,optional,optional,recommended,required if applicable,required if applicable,optional,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,optional,recommended,recommended,recommended,recommended,recommended,recommended,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,optional,optional,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,not applicable,optional,required if applicable,required if applicable,required if applicable,required if applicable,
284,Presentation,1,-1,required,recommended,optional,required,required,recommended,recommended,optional,recommended,required if applicable,required if applicable,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,optional,recommended,recommended,recommended,optional,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,recommended,recommended,recommended,required if applicable,optional,required if applicable,optional,optional,optional,recommended,recommended,recommended,recommended,
